"Lesson 5 Vocabulary " "The Esperanto Teacher (by Helen Fryer) http://www.gutenberg.org"
"Mi vidas leonon (leonojn). " "I see a lion (lions)."
"Mi legas libron (librojn). " "I read (am reading) a book (books)."
"Mi amas la patron. " "I love the father."
"Mi konas Johanon. " "I know John."
"La patro ne legas libron, sed li skribas leteron. " "The father is not reading the book but he is writing a letter."
"Mi ne amas obstinajn homojn. " "I do not love hard-headed men."
"Mi deziras al vi bonan tagon, sinjoro. " "I wish a good day to you, Sir."
"Bonan matenon! Ĝojan feston (mi deziras al vi). " "Good morning! A joyful holiday (I wish [to] you)."
"Kia ĝoja festo (estas hodiaŭ)! " "What a joyful feast ([it] is today)!"
"En la tago ni vidas la helan sunon, kaj en la nokto ni vidas la palan lunon kaj la belajn stelojn. " "In the day we see the bright sun and in the evening we see the pale moon and the beautiful stars."
"Ni havas pli freŝan panon, ol vi. " "We have fresher bread than you. "
"Ne, vi eraras, sinjoro, via pano estas malpli freŝa, ol mia. " "No, you are wrong, Sir, your bread is less fresh than mine."
"Ni vokas la knabon, kaj li venos. " "We call the boy and he comes."
"En la vintro oni hejtas la fornojn. " "In the winter they heat the oven."
"Kiam oni estas riĉa, oni havas multajn amikojn. " "When one is rich, one has many friends."
"Li amas min, sed mi lin ne amas. " "He loves me but I do not love him."
"Sinjoro P. kaj lia edzino tre amas miajn infanojn; mi ankaŭ tre amas iliajn (infanojn). " "Mr. P, and his wife loves my children a lot (very much), I also love theirs (their children) a lot (very much)."
"Mi ne konas la sinjoron, kiu legas." "I do not recognize the gentleman who is reading."
