"Lesson 12 Phrase"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"Resti kun leono estas danĝere."	"To remain with a lion is dangerous."
"La tranĉilo tranĉas bone, ĉar ĝi estas akra."	"The knife cuts well, for it is sharp."
"Iru pli rapide."	"Go more quickly."
"Li fermis kolere la pordon."	"He shut the door angrily."
"Lia parolo fluas dolĉe kaj agrable."	"His speech flows softly and pleasantly."
"Ni faris la kontrakton ne skribe, sed parole."	"We made the contract not in writing, but by word of mouth."
"Honesta homo agas honeste."	"An honest man acts honestly."
"La pastro, kiu mortis antaŭ nelonge (antaŭ ne longa tempo), loĝis longe en nia urbo."	"The pastor who died a short time ago lived long in our city."
"Ĉu vi ĝin ne ricevis returne?"	"Did you not get it back?"
"Li estas morte malsana."	"He is sick unto death."
"La fera bastono, kiu kuŝis en la forno, estas brule varmega."	"The iron rod which was in the stove (fire) is burning; hot."
"Parizo estas tre gaja."	"Paris is very gay."
"Matene frue ŝi alveturis [Footnote: See Lesson 27.] al la stacidomo."	"Early in the morning she drove to the station."
"Pardonu al mi, ke mi restis tiel longe."	"Forgive me that I stayed so long."
"Lia kolero longe daŭris."	"His anger lasted long."
"Li estas hodiaŭ en kolera humoro."	"He is to-day in an angry temper."
"La reĝo baldaŭ denove sendis alian bonkoran oficiston."	"The king soon sent again another good-hearted official."
"Hodiaŭ vespere ni havos balon."	"This evening we shall have a ball."
"Kie vi estas?"	"Where are you?"
"For de tie-ĉi!"	"Away from here! (Get away!)."
"Kien li forveturis?"	"Where did he drive away to?"
"Ŝi kuris hejmen."	"She ran home."
"Ni iris antaŭen, kiel furioj."	"We went forward like furies."
"Ĉio estis bona, kaj ni veturis pluen."	"Everything was right (good), and we went on further."
"La sinjorino ekrigardis returnen."	"The lady glanced back."
"La ŝipanoj postulis, ke oni iru returnen."	"The sailors demanded to go back (required that one should go back)."
"Mi ĝin pendigis tien ĉi, ĉar ĝi savis mian vivon."	"I hung it here, for it saved my life."
"Mi neniam sendis tien ĉi."	"I never sent here."
