"Lesson 1 Phrase" "<a  href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"Leono estas besto. " "A lion is an/a animal/beast."
"Rozo estas floro kaj kolombo estas birdo. " "A rose is a flower and a dove/pigeon is a bird."
"La rozo apartenas al Teodoro. " "The rose belongs to Theodore."
"La suno brilas. " "The sun shines."
"La patro estas tajloro. " "The father is a tailor."
"Kie estas la libro kaj la krajono? " "Where are the book and the pencil?"
"Jen estas pomo. " "Here is an apple."
"Sur la tero kuŝas ŝtono. " "On the ground/earth lies a stone."
"Sur la fenestro kuŝas krajono kaj plumo. " "On the window lie a pencil and a pen."
"La filo staras apud la patro. " "The son stands beside the father."
"Jen kuŝas la ĉapelo de la patro. " "Here lies the hat of the father."
"La patro estas en la ĉambro. " "The father is in the room."
"Antaŭ la domo staras arbo." "In front of the house stands a tree." 
"Kio estas leono? " "What is a lion?"
"Kio estas rozo? " "What is a rose?"
"Kio brilas? " "What shines?"
"Kio estas la patro? " "What is the father?"
"Kie estas la patro? " "Where is the father?"
"Kio estas sur la fenestro? " "What is/are (lies/lie) on the window?"
"Kie estas la plumo?" "Where is the pen?"
"Ĉu leono estas besto? Jes, leono estas besto. " "Is a lion a beast? Yes, a lion is a animal/beast."
"Ĉu rozo estas birdo? Ne, rozo ne estas birdo, rozo estas floro." "Is a rose a bird? No, a rose is not a bird, a rose is a flower."
