"Lesson 13 Phrase"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"Mia frato ne estas granda, sed li ne estas malgranda, li estas de meza kresko."	"My brother is not big, but he is not little, he is of medium growth."
"Haro estas tre maldika."	"A hair is very thin."
"La nokto estas tiel malluma, ke ni nenion povas vidi eĉ antaŭ nia nazo."	"The night is so dark that we can see nothing even before our nose."
"Tiu ĉi malfreŝa pano estas malmola, kiel ŝtono."	"This stale bread is hard as stone."
"Malbonaj infanoj amas turmenti bestojn."	"Naughty children love to torment animals."
"Li sentis sin tiel malfeliĉa, ke li malbenis la tagon, en kiu li estis naskita."	"He felt (himself) so miserable that he cursed the day on which he was born."
"Ni forte malestimas tiun ĉi malnoblan homon."	"We greatly despise this base man."
"La fenestro longe estis nefermita; mi ĝin fermis, sed mia frato tuj ĝin denove malfermis."	"The window was long unclosed; I closed it, but my brother immediately opened it again."
"Rekta vojo estas pli mallonga, ol kurba."	"A straight road is shorter than a curved."
"Ne estu maldanka."	"Do not be ungrateful."
"La edzino de mia patro estas mia patrino, kaj la avino de miaj infanoj."	"The wife of my father is my mother, and the grandmother of my children."
"Mia fratino estas tre bela knabino."	"My sister is a very beautiful girl. My aunt is a very good woman. I saw your grandmother with her four granddaughters, and with my niece. I have an ox and a cow. The young widow became again a fiancée."
"Mia onklino estas tre bona virino."	"My aunt is a very good woman."
"Mi vidis vian avinon kun ŝiaj kvar nepinoj, kaj kun mia nevino."	"I saw your grandmother with her four granddaughters, and with my niece."
"Mi havas bovon kaj bovinon."	"I have an ox and a cow."
"La juna vidvino fariĝis denove fianĉino."	"The young widow became again a fiancée."
