"Lesson 14 Phrase"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"Li donis al mi monon, sed mi ĝin tuj redonis al li."	"He gave me money, but I immediately returned it to him."
"Mi foriras, sed atendu min, ĉar mi baldaŭ revenos."	"I am going away, but wait for me, for I shall soon return."
"La suno rebrilas en la klara akvo de la rivero."	"The sun is reflected in the clear water of the river."
"Li reiris al sia lando."	"He returned to his country."
"Ŝi reĵetis sin sur la seĝon."	"She threw herself again upon the seat."
"En la daŭro de kelke da minutoj mi aŭdis du pafojn."	"In the course of a few minutes I heard two shots."
"La pafado daŭris tre longe."	"The firing continued for a very long time."
"Lia hieraŭa parolo estis tre bela, sed la tro multa parolado lacigas lin."	"His speech of yesterday was very fine, but too much speaking tires him."
"Li kantas tre belan kanton."	"He is singing a very beautiful song."
"La kantado estas agrabla okupo."	"Singing is an agreeable occupation."
"Per mia mano mi energie lin frotadis."	"With my hand I kept on briskly rubbing him."
"La pluvo faladis per riveroj."	"The rain kept on falling in rivers."
"Ĉiuminute ŝi elrigardadis tra la fenestro, kaj malbenadis la malrapidan iradon de la vagonaro."	"Every minute she kept looking out through the window and cursing the slow motion of the train."
"Mi saltas tre lerte."	"I leap very cleverly."
"Mi eksaltis de surprizo."	"I started with surprise."
"Mi saltadis la tutan tagon [Footnote: See Lesson 26 (iii.)] de loko al loko."	"I used to jump all day long from place to place."
"Kiam vi ekparolis, mi atendis aŭdi ion novan."	"When you began to speak I expected to hear something new."
"La diamanto havas belan brilon."	"The diamond has a beautiful sparkle."
"Ŝi lasis la diamanton ekbrili."	"She let the diamond flash."
"Du ekbriloj do fulmo trakuris tra la malluma ĉielo."	"Two flashes of lightning passed across the dark sky."
