"Lesson 19 Phrase"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"Oni tiel malhelpis al mi, ke mi malbonigis mian tutan laboron."	"They so hindered me that I spoiled the whole of my work."
"Forigu vian fraton, ĉar li malhelpas al ni."	"Send away your brother, for he hinders us."
"Venigu la kuraciston, ĉar mi estas malsana."	"Fetch the doctor, for I am ill."
"Li venigis al si el Berlino multajn librojn (multe da libroj)."	"He procured for himself many books from Berlin."
"Li paliĝis de timo, kaj poste li ruĝiĝis de honto."	"He grew pale with fear, and afterwards he blushed from shame."
"En la printempo la glacio kaj la neĝo fluidiĝas."	"In the spring the ice and the snow melt."
"En la kota vetero mia vesto forte malpuriĝis; tial mi prenis broson kaj purigis la veston."	"In the muddy weather my coat became very dirty; therefore I took a brush and cleaned the coat."
"Mia onklo ne mortis per natura morto, sed li tamen ne mortigis sin mem, kaj ankaŭ estis mortigita de neniu; unu tagon, [Footnote: See Lesson 26, Note iii.] promenante apud la reloj de fervojo, li falis sub la radojn de veturanta vagonaro, kaj mortiĝis."	"My uncle did not die (by) a natural death, but nevertheless he did not kill himself, and also was killed by nobody; one day, walking near the railway lines, he fell under the wheels of a moving train, and was killed."
"Mi ne pendigis mian ĉapon sur tiu ĉi arbeto; sed la vento forblovis de mia kapo la ĉapon, kaj ĝi, flugante, pendiĝis sur la branĉoj de la arbeto."	"I did not hang my cap on this little tree; but the wind blew away the cap from my head, and it, flying, became hung (got caught) on the branches of the little tree."
"Sidigu vin (aŭ, sidiĝu), sinjoro!"	"Seat yourself (or, sit down), sir."
"Lia malgaja vizaĝo ridigis lian amikon."	"His gloomy face made his friend laugh."
"La tutan nokton ili pasigis maldorme, kaj ekbruligis pli ol dekses kandelojn."	"The whole night they passed awake, and lighted more than sixteen candles."
"Mi senvestigis la infanon de liaj noktaj vestoj, kaj starigis lin en la kuvon; poste mi sekigis lin."	"I divested the child of his night clothes, and stood him in the tub; afterwards I dried him."
"Li amikiĝis kun malbonaj kolegoj."	"He made friends with evil companions."
"Malriĉa hebreo volis kristaniĝi."	"A poor Hebrew wished to become a Christian."
"La botelo falis kaj rompiĝis."	"The bottle fell and broke."
"Ŝi fariĝis lia edzino."	"She became his wife."
"Iom post iom, ŝi tute trankviliĝis."	"Little by little she became quite calm."
