"Lesson 3 Phrase" "<a  href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"La birdoj flugas." "The birds fly."
"La kanto de la birdoj estas agrabla." "The song of the birds is pleasant."
"Kie estas la knaboj?" "Where are the boys?"
"La patroj estas sanaj." "The fathers are healthy."
"Infanoj ne estas maturaj homoj." "Infants are not mature human beings."
"Leonoj estas fortaj." "Lions are strong."
"La manoj de Johano estas puraj." "The hands of John are clean."
"Jen estas la kajeroj de la junaj fraŭlinoj." "Here are the exercise books of the young maidens."
"La onkloj estas pli riĉaj, ol la fratoj." "The uncles are richer than the brothers."
"La hundoj estas tre fidelaj." "The dogs are very faithful."
"Blankaj paperoj  kuŝas sur la tablo." "White papers are lying on the table."
"En la ĉambro estas novaj  ĉapeloj." "In the room are new hats."
"Kie estas la akraj tranĉiloj?" "Where are the sharp knives?"
"Bonaj infanoj estas diligentaj." "Good infants are diligent."
"Jen  kuŝas puraj, blankaj, delikataj lilioj." "Here lie the pure, white, delicate lilies."
"La dentoj de leonoj estas akraj." "The teeth of lions are sharp."
